Variable	Development (n=17,063)	Temporal internal test (MIMIC-IV) (n=5,762)	SMD: Temporal internal test	External: primary (eICU) (n=13,384)	SMD: External: primary	External: Sepsis-3 sensitivity (eICU) (n=2,409)	SMD: External: Sepsis-3 sensitivity
Systolic BP, mmHg, min	88.1 ± 15.3	87.2 ± 16.0	-0.058	86.7 ± 18.8	-0.078	89.4 ± 19.7	0.077
Systolic BP, mmHg, max	147.7 ± 22.4	146.5 ± 23.0	-0.052	140.1 ± 24.7	-0.324	139.5 ± 26.5	-0.335
Diastolic BP, mmHg, min	44.1 ± 10.1	46.0 ± 10.5	0.187	44.8 ± 12.7	0.062	46.7 ± 12.8	0.221
Diastolic BP, mmHg, max	86.1 ± 19.4	89.7 ± 20.5	0.181	85.5 ± 21.0	-0.027	83.3 ± 21.2	-0.133
Mean BP, mmHg, min	56.7 ± 11.5	59.2 ± 12.1	0.219	57.6 ± 14.4	0.074	60.4 ± 15.0	0.282
Mean BP, mmHg, max	103.4 ± 21.5	106.6 ± 23.5	0.141	99.4 ± 21.3	-0.19	99.6 ± 21.2	-0.178
Respiratory rate, /min, min	12.4 ± 3.8	12.7 ± 4.0	0.085	14.4 ± 5.6	0.407	14.7 ± 5.9	0.464
Respiratory rate, /min, max	28.2 ± 6.4	29.7 ± 7.1	0.215	30.6 ± 8.6	0.316	30.0 ± 8.9	0.225
Temperature, C, min	36.2 ± 0.8	36.4 ± 0.8	0.18	36.3 ± 0.9	0.154	36.3 ± 0.9	0.142
Temperature, C, max	37.5 ± 0.8	37.5 ± 0.8	-0.007	37.6 ± 0.9	0.077	37.6 ± 0.9	0.032
SpO2, %, min	91.6 ± 5.8	90.8 ± 6.4	-0.134	90.2 ± 8.1	-0.201	91.1 ± 7.5	-0.078
SpO2, %, max	99.6 ± 1.0	99.5 ± 1.0	-0.095	99.2 ± 1.5	-0.322	99.2 ± 1.6	-0.31
BUN, mg/dL, min	25.4 ± 20.6	27.9 ± 23.5	0.113	32.6 ± 23.6	0.323	34.1 ± 23.4	0.395
BUN, mg/dL, max	30.7 ± 24.2	34.3 ± 27.6	0.138	35.5 ± 25.9	0.191	37.6 ± 25.8	0.278
Creatinine, mg/dL, min	1.3 ± 1.3	1.5 ± 1.5	0.099	1.8 ± 1.6	0.285	1.9 ± 1.8	0.354
Creatinine, mg/dL, max	1.7 ± 1.7	1.9 ± 1.9	0.128	2.0 ± 1.8	0.167	2.1 ± 2.0	0.252
WBC, K/uL, min	10.8 ± 7.6	11.8 ± 9.0	0.112	14.5 ± 9.4	0.423	13.7 ± 9.5	0.333
WBC, K/uL, max	15.6 ± 11.4	17.2 ± 15.0	0.12	15.7 ± 10.2	0.015	15.4 ± 10.6	-0.018
Hemoglobin, g/dL, min	9.9 ± 2.1	9.7 ± 2.4	-0.091	10.2 ± 2.1	0.164	10.2 ± 2.2	0.154
Hemoglobin, g/dL, max	11.5 ± 2.1	11.2 ± 2.4	-0.103	10.6 ± 2.0	-0.419	10.8 ± 2.2	-0.325
Platelet, K/uL, min	177.1 ± 102.6	169.5 ± 102.4	-0.074	189.6 ± 107.2	0.119	181.5 ± 103.0	0.042
Platelet, K/uL, max	222.2 ± 118.0	213.1 ± 115.6	-0.078	198.8 ± 110.3	-0.204	194.5 ± 108.5	-0.244
Sodium, mmol/L, min	136.5 ± 5.2	136.5 ± 5.9	-0.001	137.7 ± 6.0	0.214	137.4 ± 6.1	0.158
Sodium, mmol/L, max	139.9 ± 5.1	140.2 ± 6.0	0.061	139.3 ± 6.1	-0.102	139.3 ± 6.2	-0.096
Potassium, mmol/L, min	3.9 ± 0.6	4.0 ± 0.6	0.127	3.9 ± 0.7	-0.009	3.9 ± 0.6	0.016
Potassium, mmol/L, max	4.6 ± 0.8	4.8 ± 0.9	0.198	4.2 ± 0.8	-0.49	4.3 ± 0.8	-0.385
Chloride, mmol/L, min	102.5 ± 6.6	100.8 ± 6.9	-0.252	104.9 ± 7.3	0.34	104.3 ± 7.5	0.259
Chloride, mmol/L, max	107.0 ± 6.5	105.2 ± 7.0	-0.265	106.5 ± 7.4	-0.067	106.5 ± 7.6	-0.073
Bicarbonate, mmol/L, min	21.3 ± 4.8	19.6 ± 5.2	-0.358	21.4 ± 5.5	0.021	21.3 ± 5.8	-0.005
Bicarbonate, mmol/L, max	24.4 ± 4.3	23.0 ± 4.4	-0.316	22.8 ± 5.0	-0.329	23.0 ± 5.1	-0.278
Glucose, mg/dL, min	119.1 ± 40.2	120.7 ± 43.1	0.037	113.7 ± 42.7	-0.132	108.9 ± 39.4	-0.258
Glucose, mg/dL, max	172.7 ± 104.4	184.2 ± 111.2	0.107	180.0 ± 96.3	0.073	185.6 ± 98.2	0.128
Calcium, mg/dL, min	7.9 ± 0.9	8.0 ± 0.8	0.009	7.8 ± 0.9	-0.166	7.9 ± 1.0	-0.103
Calcium, mg/dL, max	8.5 ± 0.9	8.6 ± 0.9	0.043	8.0 ± 0.8	-0.589	8.2 ± 0.9	-0.419
